SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL
NSE,E,10526,EQUITY,0,757HP31
NSE,E,10527,EQUITY,0,772AP34
NSE,E,10528,EQUITY,0,768AS32
NSE,E,10529,EQUITY,0,765BR32
NSE,E,1053,EQUITY,0,UFLEX
NSE,E,10530,EQUITY,0,SHARDAMOTR
NSE,E,10531,EQUITY,0,761GJ32
NSE,E,10532,EQUITY,0,785KL35
NSE,E,10540,EQUITY,0,774MZ33
NSE,E,10541,EQUITY,0,767NL32
NSE,E,10543,EQUITY,0,765RJ32
NSE,E,10544,EQUITY,0,764TN32
NSE,E,10545,EQUITY,0,784TS36
NSE,E,10551,EQUITY,0,789HP37
NSE,E,10553,EQUITY,0,789WB37
NSE,E,10555,EQUITY,0,782AP42
NSE,E,10557,EQUITY,0,NAVKARCORP
NSE,E,10558,EQUITY,0,782PN42
NSE,E,10559,EQUITY,0,743HP28
NSE,E,10568,EQUITY,0,RAMAPHO
NSE,E,10576,EQUITY,0,NIFTYBEES
NSE,E,10577,EQUITY,0,KRBL
NSE,E,10578,EQUITY,0,MPSLTD
NSE,E,10579,EQUITY,0,MARKSANS
NSE,E,10580,EQUITY,0,TCI
NSE,E,10585,EQUITY,0,MOM30IETF
NSE,E,10588,EQUITY,0,SHREEPUSHK
NSE,E,10590,EQUITY,0,LOYALTEX
NSE,E,10603,EQUITY,0,GUJENERGY
NSE,E,10604,EQUITY,0,BHARTIARTL
NSE,E,10610,EQUITY,0,USASEEDS
NSE,E,10619,EQUITY,0,HDFCNEXT50
NSE,E,10622,EQUITY,0,SADBHIN
NSE,E,10633,EQUITY,0,HDFCNIF100
NSE,E,10634,EQUITY,0,ASAL
NSE,E,10637,EQUITY,0,OLECTRA
NSE,E,10638,EQUITY,0,777RJ32
NSE,E,10639,EQUITY,0,797AP36
NSE,E,10640,EQUITY,0,795HR37
NSE,E,10642,EQUITY,0,795TS37
NSE,E,10643,EQUITY,0,796AP40
NSE,E,10644,EQUITY,0,793TN42
NSE,E,10645,EQUITY,0,793RJ45
NSE,E,10646,EQUITY,0,754AS28
NSE,E,10647,EQUITY,0,774AP31
NSE,E,10648,EQUITY,0,773GJ32
NSE,E,10651,EQUITY,0,775TN32
NSE,E,10652,EQUITY,0,777HR32
NSE,E,10661,EQUITY,0,PONNIERODE
NSE,E,10666,EQUITY,0,PNB
NSE,E,10676,EQUITY,0,MNC
NSE,E,10684,EQUITY,0,SHAIVAL
NSE,E,10690,EQUITY,0,NIFTYQLITY
NSE,E,10693,EQUITY,0,MOMENTUM
NSE,E,10700,EQUITY,0,SURANAT&P
NSE,E,10713,EQUITY,0,VEEKAYEM
NSE,E,10717,EQUITY,0,TEAMGTY
NSE,E,10718,EQUITY,0,772AP35
NSE,E,10719,EQUITY,0,774AP38
NSE,E,10720,EQUITY,0,76TN32
NSE,E,10721,EQUITY,0,765BR32A
NSE,E,10722,EQUITY,0,726GS2032
NSE,E,10723,EQUITY,0,INFRAIETF
NSE,E,10726,EQUITY,0,INDIAMART
NSE,E,1073,EQUITY,0,FOSECOIND
NSE,E,10733,EQUITY,0,SPORTKING
NSE,E,10738,EQUITY,0,OFSS
NSE,E,1074,EQUITY,0,655GA30
NSE,E,10741,EQUITY,0,728NTPC30B
NSE,E,10744,EQUITY,0,737NTPC35C
NSE,E,10749,EQUITY,0,753NTPC30E
NSE,E,1075,EQUITY,0,65GJ30
NSE,E,10751,EQUITY,0,762NTPC35F
NSE,E,10753,EQUITY,0,UNIONBANK
NSE,E,10757,EQUITY,0,VERTIS
NSE,E,1076,EQUITY,0,ZENSARTECH
NSE,E,10761,EQUITY,0,SILVERADD
NSE,E,10765,EQUITY,0,765AS32
NSE,E,10768,EQUITY,0,OAL
NSE,E,1077,EQUITY,0,659HR30
NSE,E,10770,EQUITY,0,AHIMSA
NSE,E,10771,EQUITY,0,766UP32
NSE,E,10773,EQUITY,0,776KL38
NSE,E,10782,EQUITY,0,775PN42
NSE,E,10783,EQUITY,0,774TS45
NSE,E,10784,EQUITY,0,774TS46
NSE,E,10791,EQUITY,0,NUCLEUS
NSE,E,10793,EQUITY,0,SYRMA
NSE,E,10794,EQUITY,0,CANBK
NSE,E,1080,EQUITY,0,647KA30
NSE,E,10822,EQUITY,0,MOQUALITY
NSE,E,10825,EQUITY,0,MOVALUE
NSE,E,1083,EQUITY,0,661RJ30
NSE,E,10836,EQUITY,0,SEYAIND
NSE,E,1084,EQUITY,0,66SK30
NSE,E,10844,EQUITY,0,77TN42
NSE,E,10845,EQUITY,0,771KL42
NSE,E,10846,EQUITY,0,771AP42
NSE,E,10847,EQUITY,0,771AP39
NSE,E,10848,EQUITY,0,771AP37
NSE,E,1085,EQUITY,0,GABRIEL
NSE,E,10851,EQUITY,0,767KL34
NSE,E,10852,EQUITY,0,761TN32
NSE,E,10853,EQUITY,0,761HR32
NSE,E,10854,EQUITY,0,762BR32
NSE,E,10855,EQUITY,0,753HR30
NSE,E,10859,EQUITY,0,DREAMFOLKS
NSE,E,1086,EQUITY,0,66UP30
NSE,E,10865,EQUITY,0,GVPTECH
NSE,E,10871,EQUITY,0,GRMOVER
NSE,E,10876,EQUITY,0,HDFCSILVER
NSE,E,10885,EQUITY,0,JFLLIFE
NSE,E,10889,EQUITY,0,KORE
NSE,E,10895,EQUITY,0,DBOL
NSE,E,10898,EQUITY,0,AMEYA
NSE,E,1090,EQUITY,0,684MZ34
NSE,E,10902,EQUITY,0,745TS30
NSE,E,10904,EQUITY,0,747TS31
NSE,E,10905,EQUITY,0,GENESYS
NSE,E,10906,EQUITY,0,753AS32
NSE,E,10907,EQUITY,0,758PN42
NSE,E,10911,EQUITY,0,758AP40
NSE,E,10912,EQUITY,0,758GA37
NSE,E,10913,EQUITY,0,758AP42
NSE,E,1092,EQUITY,0,675KA34
NSE,E,10923,EQUITY,0,753BR32
NSE,E,10925,EQUITY,0,GODREJIND
NSE,E,10931,EQUITY,0,736GS2052
NSE,E,10932,EQUITY,0,RADAAN
NSE,E,10939,EQUITY,0,JUNIORBEES
NSE,E,10940,EQUITY,0,DIVISLAB
NSE,E,10945,EQUITY,0,TMB
NSE,E,10948,EQUITY,0,STCINDIA
NSE,E,1095,EQUITY,0,679MP40
NSE,E,10955,EQUITY,0,745HR32
NSE,E,10956,EQUITY,0,745BR32
NSE,E,10957,EQUITY,0,746MP32
NSE,E,10958,EQUITY,0,748HP33
NSE,E,10959,EQUITY,0,749HP34
NSE,E,10960,EQUITY,0,75HP36
NSE,E,10961,EQUITY,0,75HP37
NSE,E,10962,EQUITY,0,745AP40
NSE,E,10963,EQUITY,0,745AP42
NSE,E,10964,EQUITY,0,746TS48
NSE,E,10965,EQUITY,0,746TS49
NSE,E,10966,EQUITY,0,745SK32
NSE,E,10971,EQUITY,0,MEGAFLEX
NSE,E,1098,EQUITY,0,68TS50A
NSE,E,10981,EQUITY,0,74GS2062
NSE,E,10982,EQUITY,0,SABAR
NSE,E,10986,EQUITY,0,TAPIFRUIT
NSE,E,10990,EQUITY,0,RADICO
NSE,E,10993,EQUITY,0,INDORAMA
NSE,E,10995,EQUITY,0,ISHAN
NSE,E,10999,EQUITY,0,MARUTI
NSE,E,1100,EQUITY,0,GARFIBRES
NSE,E,11006,EQUITY,0,LIQUIDBEES
NSE,E,11027,EQUITY,0,INFOBEAN
NSE,E,11033,EQUITY,0,SANGINITA
NSE,E,11037,EQUITY,0,BANKIETF
NSE,E,11041,EQUITY,0,DCMNVL
NSE,E,11045,EQUITY,0,SATIA
NSE,E,11050,EQUITY,0,SIRCA
NSE,E,11058,EQUITY,0,SECURKLOUD
NSE,E,11060,EQUITY,0,KSOLVES
NSE,E,11065,EQUITY,0,NATHBIOGEN
NSE,E,11076,EQUITY,0,AGRITECH
NSE,E,11079,EQUITY,0,GFSTEELS
NSE,E,11082,EQUITY,0,LIBAS
NSE,E,11094,EQUITY,0,755BR32
NSE,E,11095,EQUITY,0,755AS32
NSE,E,11096,EQUITY,0,757JK34
NSE,E,11097,EQUITY,0,758GA37A
NSE,E,1110,EQUITY,0,DANGEE
NSE,E,11141,EQUITY,0,SUMIT
NSE,E,11154,EQUITY,0,SGBJUL27
NSE,E,11155,EQUITY,0,CNL
NSE,E,11159,EQUITY,0,756WB39
NSE,E,11160,EQUITY,0,756TS40
NSE,E,11161,EQUITY,0,756WB42
NSE,E,11162,EQUITY,0,HARSHA
NSE,E,11169,EQUITY,0,COFFEEDAY
NSE,E,11184,EQUITY,0,IDFCFIRSTB
NSE,E,11192,EQUITY,0,SGBAUG30
NSE,E,11193,EQUITY,0,SILVERAXIS
NSE,E,11195,EQUITY,0,INDIGO
NSE,E,11198,EQUITY,0,ANNAPURNA
NSE,E,11208,EQUITY,0,KANDARP
NSE,E,11212,EQUITY,0,SHK
NSE,E,11214,EQUITY,0,NOIDATOLL
NSE,E,11218,EQUITY,0,MAKS
NSE,E,11223,EQUITY,0,UCOBANK
NSE,E,11226,EQUITY,0,BAGFILMS
NSE,E,11233,EQUITY,0,SUVEN
NSE,E,11236,EQUITY,0,JSL
NSE,E,11239,EQUITY,0,NSIL
NSE,E,11241,EQUITY,0,HDFCGROWTH
NSE,E,11253,EQUITY,0,WELSPUNLIV
NSE,E,11255,EQUITY,0,HDFCQUAL
NSE,E,11260,EQUITY,0,HDFCVALUE
NSE,E,11262,EQUITY,0,IGL
NSE,E,11265,EQUITY,0,TVSELECT
NSE,E,1127,EQUITY,0,GHCL
NSE,E,11271,EQUITY,0,DREDGECORP
NSE,E,11273,EQUITY,0,749GJ26
NSE,E,11275,EQUITY,0,TVTODAY
NSE,E,11276,EQUITY,0,768PN42
NSE,E,11277,EQUITY,0,762MH30A
NSE,E,11281,EQUITY,0,771AP34
NSE,E,11282,EQUITY,0,769BR32
NSE,E,11283,EQUITY,0,769GA32
NSE,E,11284,EQUITY,0,767HR32
NSE,E,11285,EQUITY,0,764MH32
NSE,E,11286,EQUITY,0,771MN32
NSE,E,11287,EQUITY,0,UPL
NSE,E,11288,EQUITY,0,765RJ32A
NSE,E,11289,EQUITY,0,768UP32
NSE,E,11291,EQUITY,0,768WB32
NSE,E,11292,EQUITY,0,769KL40
NSE,E,11293,EQUITY,0,UNIENTER
NSE,E,11294,EQUITY,0,778MZ37
NSE,E,11295,EQUITY,0,772WB38
NSE,E,11297,EQUITY,0,SIL
NSE,E,11299,EQUITY,0,76AP28
NSE,E,11301,EQUITY,0,LUXIND
NSE,E,11314,EQUITY,0,BALAXI
NSE,E,11319,EQUITY,0,LICNETFN50
NSE,E,11325,EQUITY,0,MUKANDLTD
NSE,E,1134,EQUITY,0,APOLLO
NSE,E,11343,EQUITY,0,AFFLE
NSE,E,1135,EQUITY,0,GTECJAINX
NSE,E,11351,EQUITY,0,PETRONET
NSE,E,11355,EQUITY,0,PTC
NSE,E,11356,EQUITY,0,87SCL27
NSE,E,11359,EQUITY,0,DHANBANK
NSE,E,11361,EQUITY,0,915SCL27
